dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
bpic2011_f1,code,N,52.09,100.0,67.78,50.02,100.0,66.23
bpic2011_f2,code,N,38.57,100.0,55.64,38.46,100.0,55.52
bpic2011_f3,code,N,61.32,100.0,75.59,60.08,100.0,74.76
bpic2011_f4,code,N,59.79,100.0,74.83,59.82,100.0,74.85
bpic2012_accepted,code,N,44.64,100.0,61.57,45.5,100.0,62.43
bpic2012_declined,code,N,80.76,100.0,89.35,80.64,100.0,89.28
bpic2015_1_f2,code,N,73.47,100.0,84.7,73.56,100.0,84.76
bpic2015_2_f2,code,N,83.46,100.0,90.98,83.45,100.0,90.98
bpic2015_3_f2,code,N,74.38,100.0,85.31,74.39,100.0,85.31
bpic2015_4_f2,code,N,85.2,100.0,92.01,85.27,100.0,92.05
bpic2015_5_f2,code,N,73.02,100.0,84.4,73.04,100.0,84.42
hospital_billing_2,code,N,90.06,100.0,94.74,89.71,100.0,94.55
hospital_billing_3,code,N,95.42,100.0,97.66,95.47,100.0,97.68
Production,code,N,64.07,100.0,78.07,64.59,100.0,78.46
sepsis_cases_1,code,N,89.65,100.0,94.54,89.57,100.0,94.5
sepsis_cases_2,code,N,89.82,100.0,94.57,89.39,100.0,94.34
sepsis_cases_4,code,N,17.47,100.0,29.6,16.84,100.0,28.72
traffic_fines_1,code,N,60.15,100.0,75.12,60.15,100.0,75.12
