prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
2,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
3,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
4,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
5,157,0,0,133,24,0,0.0,0
6,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
7,157,24,133,0,0,0.15286624203821655,1.0,0.26519337016574585
8,154,24,130,0,0,0.15584415584415584,1.0,0.2696629213483146
9,152,24,128,0,0,0.15789473684210525,1.0,0.2727272727272727
10,142,24,118,0,0,0.16901408450704225,1.0,0.2891566265060241
11,129,23,106,0,0,0.17829457364341086,1.0,0.3026315789473684
12,109,24,87,0,0,0.21621621621621623,1.0,0.35555555555555557
13,93,46,140,0,0,0.24731182795698925,1.0,0.39655172413793105
14,82,21,61,0,0,0.25609756097560976,1.0,0.4077669902912621
